title,link,scraped_at
Kaya Mendadak! Petani Temukan Emas 16 Kg Saat Garap Sawah,https://www.cnbcindonesia.com/news/20260217120917-4-711528/kaya-mendadak-petani-temukan-emas-16-kg-saat-garap-sawah,2026-02-17 14:54:18
Video: ATR/BPN Jamin Tidak Ada Perampasan Tanah Milik Masyarakat,https://www.cnbcindonesia.com/news/20260213085605-8-710859/video-atr-bpn-jamin-tidak-ada-perampasan-tanah-milik-masyarakat,2026-02-17 14:54:18
"Imlek Buat 5 Crazy Rich RI Ini Bangkit & Kaya Raya, Ada 'Babah Alun'",https://www.cnbcindonesia.com/news/20260217114811-4-711527/imlek-buat-5-crazy-rich-ri-ini-bangkit-kaya-raya-ada-babah-alun,2026-02-17 14:54:18
"Ramai-Ramai Negara Berubah, Giliran Inggris Ikut Aturan Indonesia",https://www.cnbcindonesia.com/news/20260217114215-4-711526/ramai-ramai-negara-berubah-giliran-inggris-ikut-aturan-indonesia,2026-02-17 14:54:18
Breaking! Pemerintah Tutup 11 Bandara di Papua,https://www.cnbcindonesia.com/news/20260217130728-4-711534/breaking-pemerintah-tutup-11-bandara-di-papua,2026-02-17 14:54:18
Video: Jurus PHE Kembangkan 9 WK-Produksi 557 Ribu BOPD Minyak Mentah,https://www.cnbcindonesia.com/news/20260213092456-8-710865/video-jurus-phe-kembangkan-9-wk-produksi-557-ribu-bopd-minyak-mentah,2026-02-17 14:54:18
"Malapetaka Ancam Negara Eropa, Warga Bisa Membeku",https://www.cnbcindonesia.com/news/20260217113738-4-711524/malapetaka-ancam-negara-eropa-warga-bisa-membeku,2026-02-17 14:54:18
"Israel Kirim Pasukan ke Kompleks Al-Aqsa Jelang Ramadan, Mau Apa?",https://www.cnbcindonesia.com/news/20260217111509-4-711520/israel-kirim-pasukan-ke-kompleks-al-aqsa-jelang-ramadan-mau-apa,2026-02-17 14:54:18
Video: Fluktuasi Harga Emas di Awal Tahun 2026,https://www.cnbcindonesia.com/news/20260216085809-8-711375/video-fluktuasi-harga-emas-di-awal-tahun-2026,2026-02-17 14:54:18
"Bukan Iran, Trump Mendadak Terjunkan Pasukan AS untuk Perang di Sini",https://www.cnbcindonesia.com/news/20260217110651-4-711519/bukan-iran-trump-mendadak-terjunkan-pasukan-as-untuk-perang-di-sini,2026-02-17 14:54:18
